Time,Force_Foot1,Force_Foot2
4968674,2888,0
4968684,925,0
4968694,0,0
4968704,0,0
4968714,0,0
4968724,0,3730
4968734,0,3595
4968744,0,3826
4968754,0,3939
4968764,0,3947
4968774,0,3963
4968784,0,3946
4968794,0,3891
4968804,0,3808
4968814,0,3547
4968824,0,2878
4968834,0,919
4968844,0,0
4968854,0,0
4968864,0,0
4968874,3409,0
4968884,3739,0
4968894,3951,0
4968904,4005,0
4968914,4048,0
4968924,4034,0
4968934,4026,0
4968944,3975,0
4968954,3914,0
4968964,3757,0
4968974,3444,0
4968984,2813,0
4968994,622,0
4969004,0,0
4969014,0,0
4969024,0,0
4969034,0,3420
4969044,0,3734
4969054,0,3941
4969064,0,4008
4969074,0,4040
4969084,0,4043
4969094,0,4029
4969104,0,3966
4969114,0,3919
4969124,0,3764
4969134,0,3441
4969144,0,2821
4969154,0,633
4969164,0,0
4969174,0,0
4969184,0,0
4969194,0,0
4969204,0,0
4969214,0,0
4969224,0,0
4969234,0,0
4969244,0,0
4969254,0,0
4969264,0,0
4969274,0,0
4969284,0,0
4969294,0,0
4969304,0,0
4969314,0,0
4969324,0,0
4969334,0,0
4969344,0,0
4969354,0,0
4969364,0,0
4969374,0,0
4969384,0,0
4969394,0,0
4969404,0,0
4969414,0,0
4969424,0,0
4969434,0,0
4969444,0,0
4969454,0,0
4969464,0,0
4969474,0,0
4969484,0,0
4969494,0,0
4969504,0,0
4969514,0,0
4969524,0,0
4969534,0,0
4969544,0,0
4969554,0,0
4969564,0,0
4969574,0,0
4969584,0,0
4969594,0,0
4969604,0,0
4969614,0,0
4969624,0,0
4969634,0,0
4969644,0,0
4969654,0,0
4969664,0,0
4969674,0,0
4969684,0,0
4969694,0,0
4969704,0,0
4969714,0,0
4969724,0,0
4969734,0,0
4969744,0,0
4969754,0,0
4969764,0,0
4969774,0,0
4969784,0,0
4969794,0,0
4969804,0,0
4969814,0,0
4969824,0,0
4969834,0,0
4969844,0,0
4969854,0,0
4969864,0,0
4969874,0,0
4969884,0,0
4969894,0,0
4969904,0,0
4969914,0,0
4969924,0,0
4969934,0,0
4969944,0,0
4969954,0,0
4969964,0,0
4969974,0,0
4969984,0,0
4969994,0,0
4970004,0,0
4970014,0,0
4970024,0,0
4970034,0,0
4970044,0,0
4970054,0,0
4970064,0,0
4970074,0,0
4970084,0,0
4970094,0,0
